date,wind_direction,wind_speed
1935-01-01 06:55:00,S,79.0
1935-01-01 07:55:00,S,87.0
1935-01-01 11:55:00,SE,89.0
1935-01-01 12:55:00,SE,89.0
1935-01-01 18:55:00,NW,75.0
1935-01-01 19:55:00,NW,84.0
1935-01-02 06:55:00,W,97.0
1935-01-02 07:55:00,W,91.0
1935-01-02 11:55:00,N,85.0
1935-01-02 12:55:00,NW,99.0
1935-01-02 18:55:00,NW,76.0
1935-01-02 19:55:00,NW,85.0
1935-01-03 06:55:00,WNW,52.0
1935-01-03 07:55:00,WNW,54.0
1935-01-03 11:55:00,WNW,56.0
1935-01-03 12:55:00,WNW,61.0
1935-01-03 18:55:00,SW,77.0
1935-01-03 19:55:00,SW,74.0
1935-01-04 06:55:00,NW,111.0
1935-01-04 07:55:00,NW,105.0
1935-01-04 11:55:00,W,103.0
1935-01-04 12:55:00,NW,116.0
1935-01-04 18:55:00,NW,82.0
1935-01-04 19:55:00,NW,80.0
1935-01-05 06:55:00,SW,59.0
1935-01-05 07:55:00,SW,64.0
1935-01-05 11:55:00,SW,59.0
1935-01-05 12:55:00,SW,55.0
1935-01-05 18:55:00,WSW,47.0
1935-01-05 19:55:00,WSW,49.0
1935-01-06 06:55:00,WSW,78.0
1935-01-06 07:55:00,WSW,80.0
1935-01-06 11:55:00,WSW,58.0
1935-01-06 12:55:00,WSW,57.0
1935-01-06 18:55:00,WSW,56.0
1935-01-06 19:55:00,WSW,57.0
1935-01-07 06:55:00,WSW,45.0
1935-01-07 07:55:00,SW,54.0
1935-01-07 11:55:00,WSW,55.0
1935-01-07 12:55:00,WSW,53.0
1935-01-07 18:55:00,WSW,53.0
1935-01-07 19:55:00,WSW,48.0
1935-01-08 06:55:00,WSW,38.0
1935-01-08 07:55:00,WSW,43.0
1935-01-08 11:55:00,WSW,32.0
1935-01-08 12:55:00,WSW,27.0
1935-01-08 18:55:00,WSW,32.0
1935-01-08 19:55:00,WSW,26.0
1935-01-09 06:55:00,WSW,30.0
1935-01-09 07:55:00,WSW,29.0
1935-01-09 11:55:00,SW,14.0
1935-01-09 12:55:00,SW,20.0
1935-01-09 18:55:00,SW,28.0
1935-01-09 19:55:00,SW,32.0
1935-01-10 06:55:00,SW,54.0
1935-01-10 07:55:00,WSW,53.0
1935-01-10 11:55:00,WSW,53.0
1935-01-10 12:55:00,WSW,48.0
1935-01-10 18:55:00,W,40.0
1935-01-10 19:55:00,W,42.0
1935-01-11 06:55:00,W,58.0
1935-01-11 07:55:00,NW,50.0
1935-01-11 11:55:00,NW,69.0
1935-01-11 12:55:00,NW,75.0
1935-01-11 18:55:00,W,77.0
1935-01-11 19:55:00,W,76.0
